Comment,Designator,Footprint,LCSC,Quantity
0,"R30,R31,R33,R34,R35,R36,R38",R_0402_1005Metric,C17168,7
100n,"C26,C27,C28,C3,C32,C33,C35,C36,C37,C38,C4,C42,C5,C7",C_0402_1005Metric,C307331,14
10u,"C10,C11",C_0805_2012Metric,C440198,2
10u,"C31,C41",C_0603_1608Metric,C96446,2
120,R39,R_0402_1005Metric,C25079,1
1k,"R17,R18,R19,R20,R21,R22,R32",R_0402_1005Metric,C11702,7
1u,"C30,C6",C_0402_1005Metric,C52923,2
4.7k,"R23,R24,R27,R29",R_0402_1005Metric,C25900,4
AO3400A,Q11,SOT-23,C20917,1
BZX584C10,"D5,D6",D_SOD-523,C22395577,2
ESP32-S3FN8,U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,C2913196,1
F322540MUBCE2O,Y1,Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,C5917310,1
LSM6DSV320XTR,U4,Bosch_LGA-14_3x2.5mm_P0.5mm,C26633007,1
L_Small,L5,L_0402_1005Metric,C77103,1
ME6118A33PG,U2,SOT-89-3,C236721,1
MS5607-02BA,U7,LGA-8_3x5mm_P1.25mm,C97627,1
"PMEG2020EH,115",D4,D_SOD-123F,C456104,1
SQA403EJ,"Q1,Q2",Vishay_PowerPAK_SC70-6L_Single,C7083947,2
TCAN1044A-Q1,U5,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,C3234119,1
USBLC6-2SC6,U9,SOT-23-6,C7519,1
USB_B_Micro,J3,USB_Micro-B_Amphenol_10118193-0002LF_Horizontal,C132562,1
W25N01KVZEIR,U8,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,C22472329,1
RA-01SH-P,U10,Ai-Thinker-Ra-01-LoRa,,1
Conn_01x02,J4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Conn_01x04,J5,Molex_MicroLock-2200980471-01x04-Horizontal,,1
Conn_01x02,J1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Conn_01x04,J6,Molex_MicroLock-2200980471-01x04-Horizontal,,1
MountingHole_Pad,H6,MountingHole_2.2mm_M2_DIN965_Pad,,1
MountingHole_Pad,H5,MountingHole_2.2mm_M2_DIN965_Pad,,1
LED_RGBA,D1,0603x2 RGB,,1
Conn_01x02,J2,Molex_Micro_Lock_2200980271_01x02_Horizontal,,1
MountingHole_Pad,H7,MountingHole_2.2mm_M2_DIN965_Pad,,1
Buzzer,BZ1,OWMB-505020S-40-12D,,1
LED,D2,LED_0603_1608Metric,,1
MountingHole_Pad,H4,MountingHole_2.2mm_M2_DIN965_Pad,,1
Antenna_Shield,AE1,U.FL_Molex_MCRF_73412-0110_Vertical,,1
100k,R37,R_0402_1005Metric,,1
0,R13,R_0603_1608Metric,,1
