Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Shield,U.FL_Molex_MCRF_73412-0110_Vertical,7.4,37.2,-90.0,top
BZ1,Buzzer,OWMB-505020S-40-12D,9.7,9.25,0.0,top
C10,10u,C_0805_2012Metric,6.7,9.4,270.0,bottom
C11,10u,C_0805_2012Metric,9.5,6.5,0.0,bottom
C26,100n,C_0402_1005Metric,12.6,27.8,270.0,bottom
C27,100n,C_0402_1005Metric,10.45,22.78,270.0,bottom
C28,100n,C_0402_1005Metric,17.2,11.55,0.0,bottom
C3,100n,C_0402_1005Metric,2.4,26.0,0.0,bottom
C30,1u,C_0402_1005Metric,6.6,33.6,90.0,bottom
C31,10u,C_0603_1608Metric,7.8,34.4,90.0,bottom
C32,100n,C_0402_1005Metric,4.8,32.5,0.0,bottom
C33,100n,C_0402_1005Metric,4.8,35.3,0.0,bottom
C35,100n,C_0402_1005Metric,17.435,33.4,0.0,bottom
C36,100n,C_0402_1005Metric,2.3575,17.4,0.0,bottom
C37,100n,C_0402_1005Metric,1.6,15.0,90.0,bottom
C38,100n,C_0402_1005Metric,0.8525,19.4025,90.0,bottom
C4,100n,C_0402_1005Metric,2.4,30.8,0.0,bottom
C41,10u,C_0603_1608Metric,14.4,33.6,180.0,bottom
C42,100n,C_0402_1005Metric,14.25,34.8,180.0,bottom
C5,100n,C_0402_1005Metric,2.4,31.8,0.0,bottom
C6,1u,C_0402_1005Metric,9.45,22.78,270.0,bottom
C7,100n,C_0402_1005Metric,1.0,29.4,90.0,bottom
D1,LED_RGBA,0603x2 RGB,9.8,14.3,0.0,top
D2,LED,LED_0603_1608Metric,4.8,13.1,90.0,top
D4,"PMEG2020EH,115",D_SOD-123F,2.1,10.1,270.0,bottom
D5,BZX584C10,D_SOD-523,5.8,3.1,90.0,bottom
D6,BZX584C10,D_SOD-523,12.2,6.2,270.0,bottom
H4,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,2.75,2.75,0.0,top
H5,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,17.5,3.0,0.0,top
H6,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,2.75,37.5,0.0,top
H7,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,17.0,37.5,0.0,top
J1,Conn_01x02,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,12.1,38.55,180.0,top
J2,Conn_01x02,Molex_Micro_Lock_2200980271_01x02_Horizontal,4.6,8.875,-90.0,top
J3,USB_B_Micro,USB_Micro-B_Amphenol_10118193-0002LF_Horizontal,17.275,18.375,270.0,bottom
J4,Conn_01x02,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,12.2,36.0,180.0,top
J5,Conn_01x04,Molex_MicroLock-2200980471-01x04-Horizontal,8.8,4.7,0.0,top
J6,Conn_01x04,Molex_MicroLock-2200980471-01x04-Horizontal,14.3,9.1,90.0,top
L5,L_Small,L_0402_1005Metric,5.3,33.9,90.0,bottom
Q1,SQA403EJ,Vishay_PowerPAK_SC70-6L_Single,4.95,6.15,90.0,bottom
Q11,AO3400A,SOT-23,12.7,3.0,0.0,bottom
Q2,SQA403EJ,Vishay_PowerPAK_SC70-6L_Single,2.2,6.425,180.0,bottom
R13,0,R_0603_1608Metric,14.3,3.4,-90.0,top
R17,1k,R_0402_1005Metric,9.0,17.1,270.0,bottom
R18,1k,R_0402_1005Metric,10.0,16.9,270.0,bottom
R19,1k,R_0402_1005Metric,11.0,16.4,270.0,bottom
R20,1k,R_0402_1005Metric,3.8,11.69,90.0,bottom
R21,1k,R_0402_1005Metric,5.0,11.8,270.0,bottom
R22,1k,R_0402_1005Metric,12.2,38.6,0.0,bottom
R23,4.7k,R_0402_1005Metric,12.2,36.2,180.0,bottom
R24,4.7k,R_0402_1005Metric,1.4,26.95,180.0,bottom
R27,4.7k,R_0402_1005Metric,1.45,25.05,180.0,bottom
R29,4.7k,R_0402_1005Metric,11.9,34.4,0.0,bottom
R30,0,R_0402_1005Metric,13.3,22.6,90.0,bottom
R31,0,R_0402_1005Metric,12.25,22.61,90.0,bottom
R32,1k,R_0402_1005Metric,6.4,12.3,0.0,bottom
R33,0,R_0402_1005Metric,12.8,14.4,0.0,bottom
R34,0,R_0402_1005Metric,12.8,13.2,180.0,bottom
R35,0,R_0402_1005Metric,8.1,2.75,270.0,bottom
R36,0,R_0402_1005Metric,9.35,2.75,90.0,bottom
R37,100k,R_0402_1005Metric,5.8,1.2,180.0,bottom
R38,0,R_0402_1005Metric,14.095,16.045,270.0,bottom
R39,120,R_0402_1005Metric,17.3,5.9,0.0,bottom
U1,ESP32-S3FN8,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,7.95,27.8,270.0,bottom
U10,RA-01SH-P,Ai-Thinker-Ra-01-LoRa,11.3,25.25,-90.0,top
U2,ME6118A33PG,SOT-89-3,10.6,10.0,0.0,bottom
U4,LSM6DSV320XTR,Bosch_LGA-14_3x2.5mm_P0.5mm,3.7,15.0,90.0,bottom
U5,TCAN1044A-Q1,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,17.325,8.6,270.0,bottom
U7,MS5607-02BA,LGA-8_3x5mm_P1.25mm,3.325,20.725,180.0,bottom
U8,W25N01KVZEIR,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,16.435,28.45,90.0,bottom
U9,USBLC6-2SC6,SOT-23-6,12.9,19.4,180.0,bottom
Y1,F322540MUBCE2O,Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,2.6,29.4,270.0,bottom
