packet_index,byte_offset,packet_id,packet_type,frame_length,time_seconds,status,uptime,filtered_accel_x,filtered_accel_y,filtered_accel_z,gyro_x,gyro_y,gyro_z,fc_status,fc_uptime,current_sense_ch1,current_sense_ch2,current_sense_ch3,iris_battery_voltage,command_value,mcu_temperature,orientation_x,orientation_y,orientation_z,orientation_w,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,latitude,longitude,gps_altitude,barometric_altitude,witness_battery_voltage,raw_packet_hex
0,3046,0xFF,heartbeat,8,4211078.912,30719,4211078912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff 77 ff fa ff f7 00 0a
1,8796,0xFF,heartbeat,8,2163726.848,63232,2163726848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff f7 00 80 f7 da 00 0a
2,12753,0x01,sensors,23,3.366,32933,3366,176.7888,-178.25792,52.26844,1361.99,1845.76,0.07,,,,,,,,,,,,,,,,,,,,,,,,01 80 a5 00 00 0d 26 43 70 88 bc 00 00 13 f0 57 4c 01 67 00 00 01 0a
3,25041,0x01,sensors,23,3.422,32931,3422,176.79056,-199.22944,52.26844,1361.99,1827.84,0.14,,,,,,,,,,,,,,,,,,,,,,,,01 80 a3 00 00 0d 5e 43 70 b4 b4 00 00 13 f0 57 4c 01 66 00 00 02 0a
4,33612,0xFF,heartbeat,8,2163726.336,62976,2163726336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff f6 00 80 f7 d8 00 0a
5,37329,0x01,sensors,23,3.493,32935,3493,176.78708,298.84416,52.26844,1361.99,1845.76,0.21,,,,,,,,,,,,,,,,,,,,,,,,01 80 a7 00 00 0d a5 43 70 5d 72 00 00 13 f0 57 4c 01 67 00 00 03 0a
6,49617,0x01,sensors,23,3.561,32938,3561,176.78444,-112.72192,52.35036,1361.99,1971.2,0.28,,,,,,,,,,,,,,,,,,,,,,,,01 80 aa 00 00 0d e9 43 70 1b d5 00 00 13 f8 57 4c 01 6e 00 00 04 0a
7,55077,0x03,camera,19,4292411.411,37,165085185,,,,,,,65400,4292411411,12.8,17.2,0.0,0.014,,,,,,,,,,,,,,,,,,03 ff 78 ff d9 00 13 00 25 09 d7 00 01 80 ac 00 00 0e 0a
8,59349,0x05,command,10,4292280.339,65400,4292280339,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 78 ff d7 00 13 00 24 0a
9,60021,0x05,command,10,4292345.876,65401,4292345876,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,05 ff 79 ff d8 00 14 00 25 0a
10,60060,0xFF,heartbeat,8,2113394.688,62976,2113394688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff f6 00 7d f7 d8 00 0a
11,60309,0x05,command,10,4292411.411,65401,4292411411,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,05 ff 79 ff d9 00 13 00 26 0a
12,60357,0x05,command,10,4292411.411,65401,4292411411,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,05 ff 79 ff d9 00 13 00 26 0a
13,60405,0x05,command,10,4292411.411,65401,4292411411,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,05 ff 79 ff d9 00 13 00 26 0a
14,60453,0x05,command,10,4292411.411,65401,4292411411,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,05 ff 79 ff d9 00 13 00 26 0a
15,60501,0x05,command,10,4292411.411,65401,4292411411,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,05 ff 79 ff d9 00 13 00 26 0a
