I (169) w25n01kv: initialized W25N01KV JEDEC EF AE 21, SR1=0x00 SR2=0x19
I (179) flash_logger: startup test block 1023 wrote/read:
I (179) flash_logger: a5 b8 9f f2 d1 34 0b 6e 4d a0 87 9a f9 dc 33 16
I (179) flash_logger: 75 48 af 82 e1 c4 db 3e 1d 70 57 aa 89 ec c3 26
I (189) flash_logger: session 16 started in slot 15; flush interval 1000 ms
I (189) uart2: ready at 115200 baud on TX=5 RX=4
I (189) uart2: sent loopback request: 05 22
E (259) ms5607: PROM CRC mismatch: stored=2 calculated=3
E (259) sensors: MS5607 initialization failed: ESP_ERR_INVALID_CRC
I (309) ra01: Pins: RESET=8 BUSY=39 RF_EN=40 CS=16
I (329) ra01: After reset: RESET=0 RF_EN=0 BUSY=0
I (349) sensors: sensor task ready: LSM6DSV320X, MS5607, and RA-01 on SPI3
I (349) main_task: Returned from app_main()
W (1189) uart2: no 05 22 loopback reply within 1000 ms
I (1359) ms5607: ready on SPI3, OSR=4096
I (1359) sensors: MS5607 initialization recovered
E (2089) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (2199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (2299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (2349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (2479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (2579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (2679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (2779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (2879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (2979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (3079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (3199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (3299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (3349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (3479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (3579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (3679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (3779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (3879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (3979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (4079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (4199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (4299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (4349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (4479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (4579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (4679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (4779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (4879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (4979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (5079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (5199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (5299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (5349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (5479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (5579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (5679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (5779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (5879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (5979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (6079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (6199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (6299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (6349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (6479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (6579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (6679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (6779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (6879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (6979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (7079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (7199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (7299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (7349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (7479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (7579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (7679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (7779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (7879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (7979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (8079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (8199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (8299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (8349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (8479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (8579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (8679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (8779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (8879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (8979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (9079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (9199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (9299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (9349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (9479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (9579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (9679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (9779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (9879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (9979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (10479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (11479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
