packet_index,byte_offset,packet_id,packet_type,frame_length,time_seconds,status,uptime,filtered_accel_x,filtered_accel_y,filtered_accel_z,gyro_x,gyro_y,gyro_z,command_value,mcu_temperature,iris_battery_voltage,current_sense_ch1,current_sense_ch2,current_sense_ch3,raw_packet_hex
0,465,0x01,sensors,23,3.485,32923,3485,176.79756,146.80064,52.22748,1361.99,1989.12,0.0,,,,,,,01 80 9b 00 00 0d 9d 43 71 63 38 00 00 13 ec 57 4c 01 6f 00 00 00 0a
1,5976,0xFF,heartbeat,8,318776.329,55296,318776329,,,,,,,,,,,,,ff d8 00 13 00 24 09 0a
2,12753,0x01,sensors,23,3.543,32929,3543,176.79228,-5.24288,52.26844,1361.99,1845.76,0.07,,,,,,,01 80 a1 00 00 0d d7 43 70 df fe 00 00 13 f0 57 4c 01 67 00 00 01 0a
3,25041,0x01,sensors,23,3.549,32915,3549,176.80452,-178.25792,52.39132,1361.99,1971.2,0.14,,,,,,,01 80 93 00 00 0d dd 43 72 11 bc 00 00 13 fc 57 4c 01 6e 00 00 02 0a
4,29013,0x05,command,10,4292345.875,65401,4292345875,,,,,,,37,,,,,,05 ff 79 ff d8 00 13 00 25 0a
5,29829,0x05,command,10,4292411.41,65400,4292411410,,,,,,,37,,,,,,05 ff 78 ff d9 00 12 00 25 0a
6,29973,0x05,command,10,4292345.875,65402,4292345875,,,,,,,36,,,,,,05 ff 7a ff d8 00 13 00 24 0a
7,30408,0xFF,heartbeat,8,335553.546,55296,335553546,,,,,,,,,,,,,ff d8 00 14 00 24 0a 0a
8,30456,0xFF,heartbeat,8,335553.546,55040,335553546,,,,,,,,,,,,,ff d7 00 14 00 24 0a 0a
9,30501,0x05,command,10,4292345.876,65401,4292345876,,,,,,,36,,,,,,05 ff 79 ff d8 00 14 00 24 0a
10,30549,0x05,command,10,4292280.339,65401,4292280339,,,,,,,36,,,,,,05 ff 79 ff d7 00 13 00 24 0a
11,30837,0x05,command,10,4292345.876,65401,4292345876,,,,,,,37,,,,,,05 ff 79 ff d8 00 14 00 25 0a
12,30981,0x05,command,10,4291821.585,65402,4291821585,,,,,,,35,,,,,,05 ff 7a ff d0 00 11 00 23 0a
13,31269,0x05,command,10,4292542.485,65403,4292542485,,,,,,,37,,,,,,05 ff 7b ff db 00 15 00 25 0a
14,31509,0x05,command,10,4292411.413,65403,4292411413,,,,,,,36,,,,,,05 ff 7b ff d9 00 15 00 24 0a
15,31653,0x05,command,10,4292345.876,65401,4292345876,,,,,,,37,,,,,,05 ff 79 ff d8 00 14 00 25 0a
16,32325,0x05,command,10,4292345.875,65401,4292345875,,,,,,,36,,,,,,05 ff 79 ff d8 00 13 00 24 0a
17,32661,0x05,command,10,4292345.876,65404,4292345876,,,,,,,36,,,,,,05 ff 7c ff d8 00 14 00 24 0a
18,33141,0x05,command,10,4292280.34,65402,4292280340,,,,,,,37,,,,,,05 ff 7a ff d7 00 14 00 25 0a
19,33861,0x05,command,10,4292345.876,65402,4292345876,,,,,,,37,,,,,,05 ff 7a ff d8 00 14 00 25 0a
20,33909,0x05,command,10,4292411.412,65401,4292411412,,,,,,,37,,,,,,05 ff 79 ff d9 00 14 00 25 0a
21,34581,0x05,command,10,4293525.502,65401,4293525502,,,,,,,36,,,,,,05 ff 79 ff e9 ff fe 00 24 0a
22,34629,0x05,command,10,4292542.479,65400,4292542479,,,,,,,39,,,,,,05 ff 78 ff db 00 0f 00 27 0a
23,35157,0x05,command,10,4292476.95,65399,4292476950,,,,,,,37,,,,,,05 ff 77 ff da 00 16 00 25 0a
24,35205,0x05,command,10,4292345.876,65401,4292345876,,,,,,,37,,,,,,05 ff 79 ff d8 00 14 00 25 0a
25,35397,0x05,command,10,4292214.802,65400,4292214802,,,,,,,36,,,,,,05 ff 78 ff d6 00 12 00 24 0a
26,35445,0x05,command,10,4292345.876,65403,4292345876,,,,,,,36,,,,,,05 ff 7b ff d8 00 14 00 24 0a
27,35685,0x05,command,10,4292214.804,65401,4292214804,,,,,,,37,,,,,,05 ff 79 ff d6 00 14 00 25 0a
28,35733,0x05,command,10,4291952.657,65402,4291952657,,,,,,,36,,,,,,05 ff 7a ff d2 00 11 00 24 0a
29,36017,0xE1,iris_debug,14,196.473,4,196473,,,,,,,,-1,55.552,2.0,0.0,3.6,e1 00 04 00 02 ff 79 ff d9 00 14 00 24 0a
30,36261,0x05,command,10,4292476.948,65398,4292476948,,,,,,,37,,,,,,05 ff 76 ff da 00 14 00 25 0a
31,36597,0x05,command,10,4292214.804,65401,4292214804,,,,,,,37,,,,,,05 ff 79 ff d6 00 14 00 25 0a
32,36645,0x05,command,10,4292214.804,65401,4292214804,,,,,,,37,,,,,,05 ff 79 ff d6 00 14 00 25 0a
33,36693,0x05,command,10,4292214.804,65401,4292214804,,,,,,,37,,,,,,05 ff 79 ff d6 00 14 00 25 0a
34,36741,0x05,command,10,4292214.804,65401,4292214804,,,,,,,37,,,,,,05 ff 79 ff d6 00 14 00 25 0a
35,36789,0x05,command,10,4292214.804,65401,4292214804,,,,,,,37,,,,,,05 ff 79 ff d6 00 14 00 25 0a
36,36837,0x05,command,10,4292214.804,65401,4292214804,,,,,,,37,,,,,,05 ff 79 ff d6 00 14 00 25 0a
37,36885,0x05,command,10,4292214.804,65401,4292214804,,,,,,,37,,,,,,05 ff 79 ff d6 00 14 00 25 0a
38,36977,0xE1,iris_debug,14,130.938,3,130938,,,,,,,,-1,59.903,25.4,0.0,3.6,e1 00 03 00 01 ff 7a ff e9 ff fe 00 24 0a
39,37077,0x05,command,10,4292411.41,65402,4292411410,,,,,,,37,,,,,,05 ff 7a ff d9 00 12 00 25 0a
40,37329,0x01,sensors,23,3.616,32914,3616,176.8054,256.90112,52.22748,1361.99,1845.76,0.21,,,,,,,01 80 92 00 00 0e 20 43 72 27 62 00 00 13 ec 57 4c 01 67 00 00 03 0a
41,37365,0x05,command,10,4292345.876,65402,4292345876,,,,,,,36,,,,,,05 ff 7a ff d8 00 14 00 24 0a
42,37749,0x05,command,10,4292345.875,65400,4292345875,,,,,,,37,,,,,,05 ff 78 ff d8 00 13 00 25 0a
43,37893,0x05,command,10,4292280.339,65401,4292280339,,,,,,,37,,,,,,05 ff 79 ff d7 00 13 00 25 0a
44,37941,0x05,command,10,4292280.34,65398,4292280340,,,,,,,37,,,,,,05 ff 76 ff d7 00 14 00 25 0a
45,37989,0x05,command,10,4292345.875,65401,4292345875,,,,,,,37,,,,,,05 ff 79 ff d8 00 13 00 25 0a
46,38133,0x05,command,10,4292345.876,65400,4292345876,,,,,,,37,,,,,,05 ff 78 ff d8 00 14 00 25 0a
47,38373,0x05,command,10,4292345.876,65404,4292345876,,,,,,,37,,,,,,05 ff 7c ff d8 00 14 00 25 0a
48,38613,0x05,command,10,4292280.34,65403,4292280340,,,,,,,37,,,,,,05 ff 7b ff d7 00 14 00 25 0a
49,38661,0x05,command,10,4292411.413,65404,4292411413,,,,,,,36,,,,,,05 ff 7c ff d9 00 15 00 24 0a
50,38901,0x05,command,10,4292345.876,65401,4292345876,,,,,,,37,,,,,,05 ff 79 ff d8 00 14 00 25 0a
51,38997,0x05,command,10,4292411.413,65405,4292411413,,,,,,,38,,,,,,05 ff 7d ff d9 00 15 00 26 0a
52,39045,0x05,command,10,4292411.413,65405,4292411413,,,,,,,38,,,,,,05 ff 7d ff d9 00 15 00 26 0a
53,39093,0x05,command,10,4292411.413,65405,4292411413,,,,,,,38,,,,,,05 ff 7d ff d9 00 15 00 26 0a
54,39141,0x05,command,10,4292411.413,65405,4292411413,,,,,,,38,,,,,,05 ff 7d ff d9 00 15 00 26 0a
55,39189,0x05,command,10,4292411.413,65405,4292411413,,,,,,,38,,,,,,05 ff 7d ff d9 00 15 00 26 0a
56,39237,0x05,command,10,4292411.413,65405,4292411413,,,,,,,38,,,,,,05 ff 7d ff d9 00 15 00 26 0a
57,39285,0x05,command,10,4292411.413,65405,4292411413,,,,,,,38,,,,,,05 ff 7d ff d9 00 15 00 26 0a
58,39333,0x05,command,10,4294705.139,65402,4294705139,,,,,,,18,,,,,,05 ff 7a ff fb ff f3 00 12 0a
