packet_index,byte_offset,packet_id,packet_type,frame_length,time_seconds,record_version,status_byte0,heartbeat_phase,low_g_valid,gyro_valid,imu_temperature_valid,flash_init_failed,high_g_valid,barometer_valid,logging_failed,sequence,uptime,low_accel_x,low_accel_y,low_accel_z,high_accel_x,high_accel_y,high_accel_z,gyro_x,gyro_y,gyro_z,lsm6_temperature,pressure,ms5607_temperature,barometric_altitude,witness_battery_voltage,raw_packet_hex
0,0,WL,flash_sample,48,13.748,1,111,1,1,1,1,0,1,1,0,0,13748,0.034648,0.031232,-1.028216,0.041668,-0.010417,-1.343793,-3.15,1.47,2.8,51.72265625,98330,51.64,252.384719849,5.124,57 4c 01 6f 00 00 00 00 00 00 35 b4 00 47 00 40 f7 c5 00 04 ff ff ff 7f ff d3 00 15 00 28 1a b9 00 01 80 1a 00 00 14 2c 43 7c 62 7d 00 00 14 04
1,48,WL,flash_sample,48,13.768,1,111,1,1,1,1,0,1,1,0,1,13768,0.035136,0.031232,-1.02724,0.072919,-0.020834,-1.364627,-3.15,1.54,2.8,51.75,98330,51.68,252.384719849,5.124,57 4c 01 6f 00 00 00 01 00 00 35 c8 00 48 00 40 f7 c7 00 07 ff fe ff 7d ff d3 00 16 00 28 1a c0 00 01 80 1a 00 00 14 30 43 7c 62 7d 00 00 14 04
2,96,WL,flash_sample,48,13.788,1,111,1,1,1,1,0,1,1,0,2,13788,0.035136,0.03172,-1.027728,0.052085,-0.010417,-1.364627,-3.15,1.54,2.8,51.734375,98330,51.73,252.384719849,5.124,57 4c 01 6f 00 00 00 02 00 00 35 dc 00 48 00 41 f7 c6 00 05 ff ff ff 7d ff d3 00 16 00 28 1a bc 00 01 80 1a 00 00 14 35 43 7c 62 7d 00 00 14 04
3,144,WL,flash_sample,48,13.808,1,111,1,1,1,1,0,1,1,0,3,13808,0.035136,0.03172,-1.027728,0.052085,-0.010417,-1.364627,-3.15,1.54,2.8,51.734375,98330,51.73,252.384719849,5.124,57 4c 01 6f 00 00 00 03 00 00 35 f0 00 48 00 41 f7 c6 00 05 ff ff ff 7d ff d3 00 16 00 28 1a bc 00 01 80 1a 00 00 14 35 43 7c 62 7d 00 00 14 04
4,192,WL,flash_sample,48,13.828,1,111,1,1,1,1,0,1,1,0,4,13828,0.035136,0.03172,-1.027728,0.052085,-0.010417,-1.364627,-3.15,1.54,2.8,51.734375,98330,51.73,252.384719849,5.124,57 4c 01 6f 00 00 00 04 00 00 36 04 00 48 00 41 f7 c6 00 05 ff ff ff 7d ff d3 00 16 00 28 1a bc 00 01 80 1a 00 00 14 35 43 7c 62 7d 00 00 14 04
5,240,WL,flash_sample,48,13.848,1,111,1,1,1,1,0,1,1,0,5,13848,0.035136,0.03172,-1.027728,0.052085,-0.010417,-1.364627,-3.15,1.54,2.8,51.734375,98330,51.73,252.384719849,5.124,57 4c 01 6f 00 00 00 05 00 00 36 18 00 48 00 41 f7 c6 00 05 ff ff ff 7d ff d3 00 16 00 28 1a bc 00 01 80 1a 00 00 14 35 43 7c 62 7d 00 00 14 04
6,288,WL,flash_sample,48,13.871,1,65,1,0,0,0,0,0,1,0,6,13871,0.035624,0.032696,-1.026264,0.020834,-0.010417,-1.343793,-0.21,-0.49,0.28,51.734375,98336,51.78,251.874755859,5.136,57 4c 01 41 00 00 00 06 00 00 36 2f 00 49 00 43 f7 c9 00 02 ff ff ff 7f ff fd ff f9 00 04 1a bc 00 01 80 20 00 00 14 3a 43 7b df f0 00 00 14 10
7,336,WL,flash_sample,48,13.888,1,111,1,1,1,1,0,1,1,0,7,13888,0.035624,0.03172,-1.026264,0.020834,0.0,-1.375044,-1.26,-0.56,2.03,51.69921875,98328,51.62,252.556472778,5.136,57 4c 01 6f 00 00 00 07 00 00 36 40 00 49 00 41 f7 c9 00 02 00 00 ff 7c ff ee ff f8 00 1d 1a b3 00 01 80 18 00 00 14 2a 43 7c 8e 75 00 00 14 10
8,384,WL,flash_sample,48,13.908,1,111,1,1,1,1,0,1,1,0,8,13908,0.035624,0.032208,-1.026752,0.010417,-0.031251,-1.343793,-2.24,0.14,3.01,51.734375,98332,51.68,252.215606689,5.136,57 4c 01 6f 00 00 00 08 00 00 36 54 00 49 00 42 f7 c8 00 01 ff fd ff 7f ff e0 00 02 00 2b 1a bc 00 01 80 1c 00 00 14 30 43 7c 37 32 00 00 14 10
9,432,WL,flash_sample,48,13.928,1,103,1,1,1,0,0,1,1,0,9,13928,0.03416,0.030744,-1.02968,0.052085,0.0,-1.343793,-3.15,1.47,2.8,51.7578125,98329,51.74,252.471908569,5.116,57 4c 01 67 00 00 00 09 00 00 36 68 00 46 00 3f f7 c2 00 05 00 00 ff 7f ff d3 00 15 00 28 1a c2 00 01 80 19 00 00 14 36 43 7c 78 cf 00 00 13 fc
10,480,WL,flash_sample,48,13.948,1,103,1,1,1,0,0,1,1,0,10,13948,0.034648,0.032696,-1.031632,0.072919,-0.020834,-1.35421,-3.15,1.47,2.8,51.71484375,98335,51.78,251.959320068,5.116,57 4c 01 67 00 00 00 0a 00 00 36 7c 00 47 00 43 f7 be 00 07 ff fe ff 7e ff d3 00 15 00 28 1a b7 00 01 80 1f 00 00 14 3a 43 7b f5 96 00 00 13 fc
11,528,WL,flash_sample,48,13.969,1,103,1,1,1,0,0,1,1,0,11,13969,0.034648,0.032696,-1.02724,0.083336,-0.020834,-1.343793,-3.08,1.54,2.8,51.734375,98334,51.83,252.043869019,5.116,57 4c 01 67 00 00 00 0b 00 00 36 91 00 47 00 43 f7 c7 00 08 ff fe ff 7f ff d4 00 16 00 28 1a bc 00 01 80 1e 00 00 14 3f 43 7c 0b 3b 00 00 13 fc
12,576,WL,flash_sample,48,13.988,1,111,1,1,1,1,0,1,1,0,12,13988,0.035624,0.031232,-1.028704,0.062502,0.031251,-1.364627,-3.15,1.54,2.8,51.7734375,98335,51.87,251.959320068,5.116,57 4c 01 6f 00 00 00 0c 00 00 36 a4 00 49 00 40 f7 c4 00 06 00 03 ff 7d ff d3 00 16 00 28 1a c6 00 01 80 1f 00 00 14 43 43 7b f5 96 00 00 13 fc
13,624,WL,flash_sample,48,14.008,1,111,1,1,1,1,0,1,1,0,13,14008,0.035624,0.032208,-1.02724,0.072919,0.010417,-1.35421,-3.08,1.54,2.8,51.7578125,98336,51.92,251.874755859,5.116,57 4c 01 6f 00 00 00 0d 00 00 36 b8 00 49 00 42 f7 c7 00 07 00 01 ff 7e ff d4 00 16 00 28 1a c2 00 01 80 20 00 00 14 48 43 7b df f0 00 00 13 fc
14,672,WL,flash_sample,48,14.028,1,111,1,1,1,1,0,1,1,0,14,14028,0.035136,0.03172,-1.027728,0.052085,0.010417,-1.35421,-3.15,1.54,2.8,51.80859375,98338,51.95,251.703018188,5.112,57 4c 01 6f 00 00 00 0e 00 00 36 cc 00 48 00 41 f7 c6 00 05 00 01 ff 7e ff d3 00 16 00 28 1a cf 00 01 80 22 00 00 14 4b 43 7b b3 f9 00 00 13 f8
15,720,WL,flash_sample,48,14.048,1,111,1,1,1,1,0,1,1,0,15,14048,0.035136,0.031232,-1.02724,0.052085,-0.020834,-1.35421,-3.15,1.54,2.8,51.73828125,98338,51.95,251.703018188,5.112,57 4c 01 6f 00 00 00 0f 00 00 36 e0 00 48 00 40 f7 c7 00 05 ff fe ff 7e ff d3 00 16 00 28 1a bd 00 01 80 22 00 00 14 4b 43 7b b3 f9 00 00 13 f8
16,768,WL,flash_sample,48,14.068,1,111,1,1,1,1,0,1,1,0,16,14068,0.035136,0.031232,-1.02724,0.052085,-0.020834,-1.35421,-3.15,1.54,2.8,51.73828125,98338,51.95,251.703018188,5.112,57 4c 01 6f 00 00 00 10 00 00 36 f4 00 48 00 40 f7 c7 00 05 ff fe ff 7e ff d3 00 16 00 28 1a bd 00 01 80 22 00 00 14 4b 43 7b b3 f9 00 00 13 f8
17,816,WL,flash_sample,48,14.088,1,111,1,1,1,1,0,1,1,0,17,14088,0.035136,0.031232,-1.02724,0.052085,-0.020834,-1.35421,-3.15,1.54,2.8,51.73828125,98338,51.95,251.703018188,5.112,57 4c 01 6f 00 00 00 11 00 00 37 08 00 48 00 40 f7 c7 00 05 ff fe ff 7e ff d3 00 16 00 28 1a bd 00 01 80 22 00 00 14 4b 43 7b b3 f9 00 00 13 f8
18,864,WL,flash_sample,48,14.108,1,111,1,1,1,1,0,1,1,0,18,14108,0.035136,0.031232,-1.02724,0.052085,-0.020834,-1.35421,-3.15,1.54,2.8,51.73828125,98338,51.95,251.703018188,5.112,57 4c 01 6f 00 00 00 12 00 00 37 1c 00 48 00 40 f7 c7 00 05 ff fe ff 7e ff d3 00 16 00 28 1a bd 00 01 80 22 00 00 14 4b 43 7b b3 f9 00 00 13 f8
19,912,WL,flash_sample,48,14.128,1,111,1,1,1,1,0,1,1,0,19,14128,0.036112,0.031232,-1.026264,0.052085,-0.031251,-1.364627,-0.49,-0.98,1.19,51.78515625,98343,51.99,251.277603149,5.136,57 4c 01 6f 00 00 00 13 00 00 37 30 00 4a 00 40 f7 c9 00 05 ff fd ff 7d ff f9 ff f2 00 11 1a c9 00 01 80 27 00 00 14 4f 43 7b 47 11 00 00 14 10
20,960,WL,flash_sample,48,14.148,1,111,1,1,1,1,0,1,1,0,20,14148,0.035624,0.03172,-1.026752,0.052085,-0.020834,-1.364627,-1.61,-0.28,2.45,51.80078125,98333,51.78,252.131057739,5.136,57 4c 01 6f 00 00 00 14 00 00 37 44 00 49 00 41 f7 c8 00 05 ff fe ff 7d ff e9 ff fc 00 23 1a cd 00 01 80 1d 00 00 14 3a 43 7c 21 8d 00 00 14 10
21,1008,WL,flash_sample,48,14.168,1,103,1,1,1,0,0,1,1,0,21,14168,0.035624,0.031232,-1.02724,0.041668,-0.020834,-1.375044,-3.01,1.33,3.01,51.75390625,98334,51.83,252.043869019,5.136,57 4c 01 67 00 00 00 15 00 00 37 58 00 49 00 40 f7 c7 00 04 ff fe ff 7c ff d5 00 13 00 2b 1a c1 00 01 80 1e 00 00 14 3f 43 7c 0b 3b 00 00 14 10
22,1056,WL,flash_sample,48,14.188,1,103,1,1,1,0,0,1,1,0,22,14188,0.035624,0.03172,-1.02724,0.052085,-0.031251,-1.333376,-3.15,1.54,2.8,51.77734375,98333,51.87,252.131057739,5.136,57 4c 01 67 00 00 00 16 00 00 37 6c 00 49 00 41 f7 c7 00 05 ff fd ff 80 ff d3 00 16 00 28 1a c7 00 01 80 1d 00 00 14 43 43 7c 21 8d 00 00 14 10
