[16:42:40.065] RX[TCP_prs2026hitl_7000]  ff fb 03 ff fd 03 ff fb 01 ff fe 01 ff fd 00 ff fb 00 ff fd 2c
[16:42:40.065] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0xfb; payload=fb 03 ff fd 03 ff
[16:42:44.118] RX[TCP_prs2026hitl_7000]  00 25 0a 01 0b 00 00 00 07 7e 00 00 18 00 58 d5 ff ff da 1d 00 24 0a 01 0b 00 00 00 07 e2 00 00 18 00 58 ed ff ff da ff ff d6 00 00 23 0a 00 25 0a 02 10 00 00 00 08 46 00 00 00 00 00 00 00 00 00 00 00
[16:42:44.119] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x01: expected 0x0a, got 0x7e; payload=ff fe 01 ff fd 00 ff fb 00 ff fd 2c 00 25 0a 01 0b 00 00 00 07
[16:42:44.119] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.120] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.120] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x18; discarded 1 byte
[16:42:44.120] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.120] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x58; discarded 1 byte
[16:42:44.120] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0xd5; discarded 1 byte
[16:42:44.120] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0x01; payload=ff da 1d 00 24 0a
[16:42:44.120] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0b; discarded 1 byte
[16:42:44.120] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.120] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.120] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.121] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x07; discarded 1 byte
[16:42:44.121] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0xe2; discarded 1 byte
[16:42:44.121] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.122] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.122] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x18; discarded 1 byte
[16:42:44.122] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.123] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x58; discarded 1 byte
[16:42:44.123] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0xed; discarded 1 byte
[16:42:44.123] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0x00; payload=ff da ff ff d6 00
[16:42:44.123] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x23; discarded 1 byte
[16:42:44.124] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:42:44.124] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.124] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x25; discarded 1 byte
[16:42:44.125] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:42:44.125] RX[TCP_prs2026hitl_7000]  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 52 29 43 50 0a ff ff 00 00 00 00 08 46 0a 00 25 0a 01 0f 00 00 00 09 0e 00 00 00 00 58 f9 ff ff da 5a ff ff d4 00 18 00 22 0a 00 24 0a 01 0f 00 00 00 09 d6 00 00 0c 00 58 e1 ff ff da 66 ff ff d6 00 14 00 25 0a 01 0b 00 00 00 0a 3a 00 00 0c 00 59 1e 00 23 0a 28 32 01 0b 00 00 00 0a 9e 00 00 25 00 58 d5 ff ff da 29 00 23 0a 00 25 0a 00 24 0a 38 29 01 0f 00 00 00 0b ca 00 00 18 00 58 ed ff ff da 29 00 22 0a 00 25 0a 20 6d 43 fa 5e 40 5e 40 5e 58 5e 40 58 d5 ff ff d9 bb 20 5e 40 5e 40 5e ff ff d5 5e 40 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 5e 40 4c 5e 5e 08 08 20 08 20 08 20 08 08 08 08 20 08 08 08 20 08 08 20 08 08 20 08 5e 40 25 0a 0a 57 20 28 34 31 39 39 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 28 32 31 38 29 20 4d 43 fa 5e 40 5e 40 5e 58 5e 40 58 d5 ff ff d9 bb 20 5e 40 5e 40 5e ff ff d5 5e 40 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 5e 40 4c 5e 5e 08 08 20 08 20 08 20 08 08 08 08 20 08 08 08 20 08 08 20 08 08 20 08 5e 40 25 0a 0a 5e 41 5e 4f 5e 40 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 5e 40 24 0a 0a 5e 41 5e 4f 5e 5e ff ff 58 5e 40 58 ed ff ff da ff ff d6 5e 40 5e 08 5e 40 23 0a 0a 58 08 20 50 46 5e 40 5e 40 5e 40 5e 40 5e 57 20 28 34 32 30 30 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 41 5e 4f 5e 40 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 5e 40 24 0a 0a 57 20 28 34 32 30 30 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 41 5e 4f 5e 5e ff ff 58 5e 40 58 ed ff ff da ff ff d6 5e 40 5e 08 5e 40 23 0a 0a 43 52 29 43 50 0a 0a ff ff 5e 40 5e 40 5e 40 5e 40 5e 48 46 0a 0a 5e 41 5e 4f 5e 40 5e 40 5e 40 ff ff da 35 ff ff d6 5e 40 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 08 20 08 08 20 08 08 08 20 08 08 20 08 20 08 08 20 08 08 08 23 0d 0a 5e 41 5e 20 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 57 20 28 34 32 30 30 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 58 08 20 50 46 5e 40 5e 40 5e 40 5e 40 5e 43 52 29 43 50 0d 0a 57 20 28 34 32 30 30 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 ff ff 5e 40 5e 40 5e 40 5e 40 5e 48 46 0d 0a 57 20 28 34 32 30 30 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 41 5e 4f 5e 40 5e 40 5e 40 ff ff da 35 ff ff d6 5e 40 08 20 08 08 20 08 08 20 08 08 01 0b 00 00 00 a3 be 00 00 00 00 59 12 ff ff da 72 ff ff d7 00 28 00 00 0a 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 08 20 08 08 20 08 08 08 20 08 08 20 08 20 08 08 20 08 08 08 23 0d 0a 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 5e 40 25 0d 0a 31 5e 41 5e 4f 5e 40 5e 40 5e 40 5e 4b 66 5e 40 5e 40 5e 4c 5e 40 58 e1 ff ff da 5e 45 ff ff d7 5e 40 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08
[16:42:44.130] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x02: expected 0x0a, got 0xff; payload=10 00 00 00 08 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 52 29 43 50 0a
[16:42:44.136] PACKET[TCP_prs2026hitl_7000] heartbeat: status=0, uptime=2118
[16:42:44.142] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.153] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x25; discarded 1 byte
[16:42:44.157] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:42:44.161] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x01: expected 0x0a, got 0x00; payload=0f 00 00 00 09 0e 00 00 00 00 58 f9 ff ff da 5a ff ff d4 00 18
[16:42:44.165] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x22; discarded 1 byte
[16:42:44.169] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:42:44.174] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.178] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x24; discarded 1 byte
[16:42:44.183] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:42:44.187] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x01: expected 0x0a, got 0x00; payload=0f 00 00 00 09 d6 00 00 0c 00 58 e1 ff ff da 66 ff ff d6 00 14
[16:42:44.192] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x25; discarded 1 byte
[16:42:44.194] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:42:44.194] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x01: expected 0x0a, got 0x00; payload=0b 00 00 00 0a 3a 00 00 0c 00 59 1e 00 23 0a 28 32 01 0b 00 00
[16:42:44.194] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:42:44.195] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x9e; discarded 1 byte
[16:42:44.195] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.195] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.196] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x25; discarded 1 byte
[16:42:44.196] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.196] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x58; discarded 1 byte
[16:42:44.197] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0xd5; discarded 1 byte
[16:42:44.197] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0x00; payload=ff da 29 00 23 0a
[16:42:44.197] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x25; discarded 1 byte
[16:42:44.197] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:42:44.198] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:42:44.198] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x24; discarded 1 byte
[16:42:44.198] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:42:44.199] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x38; discarded 1 byte
[16:42:44.199] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x29; discarded 1 byte
