[17:13:16.296] RX[TCP_prs2026hitl_7000]  ff fb 03 ff fd 03 ff fb 01 ff fe 01 ff fd 00 ff fb 00 ff fd 2c
[17:13:16.296] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0xfb; resync=discard 1 byte
[17:13:16.297] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0xfb; resync=discard 1 byte
[17:13:20.325] RX[TCP_prs2026hitl_7000]  05 0a 01 0b 00 00 00 07 e2 ff ff e3 5c 00 55 ed ff ff f6 fe ff ff 28 00 eb 00 9c 0a 01 0b 00 00 00 08 46 ff ff a1 00 97 00 05 4a 01 19 ff ff e7 02 2f 0a 02 10 00 00 00 08 46 00 00 00 00 00 00 00 00 00 00 00
[17:13:20.326] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0x00; resync=offset 15
[17:13:20.327] PACKET[TCP_prs2026hitl_7000] heartbeat: status=65320, uptime=15401116
[17:13:20.327] PACKET[TCP_prs2026hitl_7000] sensors: status=2816, uptime=2118, filtered_accel=[-0.0038, 1.54624, 13.865], gyro=[465.85, -1.75, 39.13]
[17:13:20.328] RX[TCP_prs2026hitl_7000]  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 51 24 d7 40 0a ff ff 00 00 00 00 08 46 0a 01 0f 00 00 00 08 aa ff ff ea 8e 00 5c d6 ff ff f3 0a 00 26 00 a3 00 32 0a 20 28 32 31 38 01 0f 00 00 00 09 0e ff ff ed 45 00 5a ee ff ff 00 43 00 39 00 b1 0a 01 0f 00 00 00 09 72 ff ff fa 48 00 61 81 ff ff e8 9a 01 72 ff ff d8 01 d1 0a 01 0f 00 00 00 09 d6 ff ff fc cf 00 5b ff ff de 73 00 c3 00 20 00 72 0a 01 0b 00 00 00 0a 3a ff ff fc cf 00 5a 80 ff ff e0 ff ff d7 00 00 21 0a 29 20 01 0b 00 00 00 0a 9e ff ff fc aa 00 5a 80 00 21 0a 01 0b 00 00 00 0b 02 ff ff fc 92 00 5a 74 ff ff df ff ff da 00 14 00 23 0a 00 22 0a 01 0f 00 00 00 0b ca ff ff fc 9e 00 00 21 0a 00 23 0a 35 36 30 43 43 5e 45 0a 0a 57 20 28 32 34 34 38 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 28 32 31 38 29 20 4d 53 35 36 30 43 43 5e 45 0d 0a 5e 41 5e 4b 5e 40 5e 40 5e 40 5e 5e 48 40 40 ea 8e 5e 40 5c d6 ff ff f3 0d 0a 5e 9a 5e 40 09 d6 ff ff fc cf 5e 40 5b ff ff de 73 5e 40 c3 5e 40 20 5e 40 72 0d 0a 5e 41 5e 4b 5e 40 5e 40 5e 40 0d 0a 3a ff ff fc cf 5e 40 5a 80 57 20 28 32 34 34 39 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 41 5e 4b 5e 40 5e 40 5e 40 5e 5e 48 40 40 ea 8e 5e 40 5c d6 ff ff f3 0d 0a 57 20 28 32 34 34 39 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 9a 5e 40 20 d6 ff ff fc cf 5e 40 5b ff ff de 53 5e 40 c3 5e 40 20 5e 40 52 0d 0a 57 20 28 32 34 34 39 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 41 5e 4b 5e 40 5e 40 5e 40 0d 0a ff ff e0 5e 52 0d 0a 3a ff ff fc cf 5e 40 5a 80 ff ff e0 ff ff d7 5e 40 21 0d 0a 29 20 5e 41 5e 4b 5e 40 5e 40 5e 40 0d 0a 9e ff ff fc aa 5e 40 5a 80 ff ff df 36 ff ff d9 5e 40 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 5e 40 21 0d 0a 5e 41 5e 4b 5e 40 5e 40 5e 40 5e 4b 5e 42 ff ff fc 92 5e 40 5a 57 20 28 32 34 34 39 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 3a ff ff fc cf 5e 40 5a 80 ff ff e0 5e 52 0d 0a 57 20 28 32 34 34 39 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 3a ff ff fc cf 5e 40 5a 80 ff ff e0 ff ff d7 5e 40 21 0d 0a 57 20 28 32 34 34 39 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 29 20 5e 41 5e 4b 5e 40 5e 40 5e 40 0d 0a 57 20 28 32 34 34 39 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 9e ff ff fc aa 5e 40 5a 80 ff ff df 36 ff ff d9 5e 40 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 5e 40 21 0d 0a 74 ff ff df 5e 52 0d 0a 5e 41 5e 4b 5e 40 5e 40 5e 40 5e 4b 5e 42 ff ff fc 92 5e 40 5a 74 ff ff df ff ff da 5e 40 5e 54 5e 40 23 0d 0a 5e 41 5e 4f 5e 40 5e 40 5e 40 5e 4b 66 ff ff 5e 40 20 08 08 08 08 20 08 08 08 08 20 08 20 20 08 5e 40 22 0d 0a 5e 41 5e 4f 5e 40 5e 0d 0a 5e 41 5e 4f 5e 40 5e 08 08 20 08 08 20 08 08 20 08 08 20 08 20 08 08 20 08 5e 40 23 0d 0a 35 36 30 43 43 5e 45 0d 0a 0d 0a 57 20 28 32 34 34 38 38 29 20 73 65 72 69 61 6c 5f 63 57 20 28 32 34 35 30 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 41 5e 4b 5e 40 5e 40 5e 40 5e 4b 5e 42 ff ff fc 92 5e 40 5a 54 ff ff df 5e 52 0d 0a 57 20 28 32 34 35 30 38 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 41 5e 4b 5e 40 5e 40 5e 40 5e 4b 5e 42 ff ff fc 92
[17:13:20.333] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x02: expected 0x0a, got 0xff; resync=offset 8
[17:13:20.342] PACKET[TCP_prs2026hitl_7000] sensors: status=3840, uptime=2218, filtered_accel=[-0.00088, -298.84048, -107.47908], gyro=[-232.26, 2.66, 11.41], sensor_trailing_u16=50
[17:13:20.348] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x20; discarded 5 byte(s)
[17:13:20.354] PACKET[TCP_prs2026hitl_7000] sensors: status=3840, uptime=2318, filtered_accel=[-0.00076, 180.88296, -44.56452], gyro=[4.69, 3.99, 12.39]
