[17:25:58.015] RX[TCP_prs2026hitl_7100]  01 0b 00 00 0a 79 21 ff fc 55 00 00 24 0a 01 0b 00 00 0a 79 85 ff fc 6d 00 00 23 0a 01 0f 00 00 0a 79 e9 ff fc 92 00 5a 2a 00 25 0a 01 0f 00 00 0a 7a 4d ff fc 79 00 5a 1e ff de 1e 00 23 0a 01
[17:25:58.016] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0x01: expected 0x0a, got 0x00; resync=discard 1 byte
[17:25:58.016] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x23; discarded 1 byte(s)
[17:25:58.017] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0a; discarded 1 byte(s)
[17:25:58.017] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0x01: expected 0x0a, got 0xfc; resync=discard 1 byte
[17:25:58.018] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[17:25:58.018] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5a; discarded 1 byte(s)
[17:25:58.019] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x1e; discarded 1 byte(s)
[17:25:58.019] RX[TCP_prs2026hitl_7100]  0f 00 00 0a 00 25 0a 01 0f 00 00 0a ff fc 9e 00 5a 4f ff de 1e ff d6 00 00 25 0a 01 0b 00 00 0a 7b 79 ff fc 92 00 5a 43 ff de 1e ff d5 00 18 00 23 0a 01 0b 00 00 0a 7b dd ff fc 9e 00 5a 2a ff de 5b ff d5 00 00 25 0a 02 10 00 00 0a 7b dd 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 52 96 2b 50 0a ff 01 00 00 0a 7b dd 0a 01 0b 00 00 0a 7c 41 ff fc 79 00 5a 1e ff dd f9 ff d6 00 00 26 0a 01 0f 00 00 0a 7c a5 ff fc aa 00 5a 43 ff dd 8b ff d5 00 18 00 25 0a 01 0f 00 00 0a 7d 09 ff fc b6 00 5a 80 ff de e1 ff d4 00 00 22 0a 01 0f 00 00 0a 7d 6d ff fc 79 00 00 25 0a 01 0f 00 00 0a 00 25 0a 01 0b 00 00 0a 7e 35 ff fc c2 00 5a b1 00 23 0a 01 0b 00 00 0a 7e 99 ff fc 9e 00 00 25 0a 01 0b 00 00 0a 00 25 0a 01 0f 00 00 0a 61 ff fc 61 00 5a 2a 00 23 0a 01 0f 00 00 0a c5 ff fc 92 00 5a 2a ff de 05 00 24 0a 02 10 00 00 0a c5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 52 96 2b 50 0a ff 00 00 00 0a c5 0a 01 0f 00 00 0a 00 25 0a 01 0f 00 00 0a 80 8d ff fc 9e 00 5a 4f ff de 1e ff d6 00 00 25 0a 01 0b 00 00 0a 80 f1 ff fc 9e 00 5a 2a 00 22 0a 01 0b 00 00 0a 81 55 ff fc 92 00 5a 43 ff dd ed ff d6 00 00 25 0a 01 0b 00 00 0a 81 b9 ff fc 18 00 59 bd ff dc 67 ff dc 00 18 00 26 0a 5e 41 5e 4b 5e 40 5e 40 0a 0a 79 57 20 28 36 38 38 37 36 32 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 01 0f 00 00 0a 82 1d ff fc 85 00 5a 2a ff dd bc 00 24 0a 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 e0 5e 41 5e 4b 5e 40 5e 40 0a 0a 21 ff fc 55 5e 40 5e d8 7a 4f ff 5e 26 5e 5e 40 40 08 0a 0a 20 08 08 08 20 08 08 5e 40 d6 5e c5 5e 40 5e 40 40 5e fc 0a 0a 5e 20 08 80 5e 0a 0a 80 36 ff d5 5e 40 5e 40 57 20 28 36 38 38 37 37 32 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 59 21 ff fc 55 5e 40 5e d8 5a 4f ff 5e 26 5e 5e 40 40 08 0d 0a 57 20 28 36 38 38 37 37 32 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 08 08 08 20 08 08 5e 40 d6 5e c5 5e 40 5e 40 40 5e fc 0d 0a 57 20 28 36 38 38 37 37 32 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 20 08 80 5e 0d 0a 0d 0a 29 20 6c 63 6f 6d 3a 20 75 6e 6b 6e 5e 41 5e 4f 5e 40 5e 40 0d 0a 82 5e 5d ff fc 85 5e 40 5a 2a ff dd bc ff d7 5e 40 08 20 08 08 20 6f 77 6e 40 5e 40 0d 0a 0d 0a 21 ff fc 55 5e 40 5e d8 7a 4f ff 5e 26 5e 5e 40 40 5e 48 0d 0a 0d 0a 20 5e 48 40 5e fc 0d 0a 0d 0a 5e 20 5e 48 80 5e 0d 0a 0d 0a 80 36 ff d5 5e 40 5e 40 57 20 28 36 38 38 37 37 32 29 20 73 65 72 69 61 6c 3a 20 75 6e 6b 6e 6f 21 ff 57 20 28 36 38 38 37 37 32 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 80 36 ff d5 5e 40 5e 40 0d 0a 57 20 28 36 38 38 37 37 32 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 29 20 4c 43 4f 4d 3a 20 55 4e 4b 4e 5e 41 5e 4f 5e 40 5e 40 0d 0a 57 20 28 36 38 38 37 37 32 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 82 5e 5d ff fc 85 5e 40 5a 2a ff dd bc ff d7 5e 40 08 20 08 08 20 4f 57 4e 40 5e 40 0d 0a 57 20 28 36 38 38 37 37 32 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 21 ff fc 55 5e 40 5e d8 5a 4f ff 5e 26 5e 5e 40 40 5e 48 0d 0a 57 20 28 36 38 38 37 38 32 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 48 40 5e fc 0d 0a 57 20 28 36 38 38 37 38 32 29 20 73 65
[17:25:58.025] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0xff: expected 0x0a, got 0x0f; resync=offset 6
[17:25:58.030] PACKET[TCP_prs2026hitl_7100] sensors: status=3840, uptime=720892, filtered_accel=[-256.89752, 209.71384, 81.26296], gyro=[0.0, 663.74, 18.69], sensor_trailing_u16=0
[17:25:58.035] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x7b; discarded 103 byte(s)
