[13:45:54.789] RX[TCP_prs2026hitl_7100]  00 00 00 00 00 00 00 00 00 00 88 c5 00 00 00 90 0a 5e 43 5e 40 5e 43 40 5e 43 5e 40 5e 40 5e 40 5e 40
[13:45:54.791] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.792] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.792] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.792] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.793] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.793] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.794] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.795] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.795] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.796] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.796] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x88; discarded 1 byte(s)
[13:45:54.797] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0xc5; discarded 1 byte(s)
[13:45:54.799] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.799] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.800] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.801] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x90; discarded 1 byte(s)
[13:45:54.802] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0a; discarded 1 byte(s)
[13:45:54.802] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.803] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x43; discarded 1 byte(s)
[13:45:54.804] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.804] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.805] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.805] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x43; discarded 1 byte(s)
[13:45:54.806] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.807] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.807] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x43; discarded 1 byte(s)
[13:45:54.808] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.808] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.809] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.809] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.810] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.810] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.811] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.811] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.812] RX[TCP_prs2026hitl_7101]  00 23 0a 01 76 00 00 00 20 7e 00 01 6e 00 4c 7d ff c4 0c ff da 00 1d 00 0a 00 22 0a 01 76 00 00 00 21 46 00 01 7a 00 4c 71 ff c4 0c ff d9 00 14 00 23 0a 01 7e 00 00 00 21 aa 00 01 7a 00 4c 7d
[13:45:54.813] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x00; discarded 3 byte(s)
[13:45:54.816] PACKET[TCP_prs2026hitl_7101] sensors: status=30208, uptime=8318, filtered_accel=[0.01464, 0.78324, -0.61392], gyro=[-2.66, 2.03, 0.7], sensor_trailing_u16=34
[13:45:54.817] PACKET[TCP_prs2026hitl_7101] sensors: status=30208, uptime=8518, filtered_accel=[0.01512, 0.78276, -0.61392], gyro=[-2.73, 1.4, 2.45]
[13:45:54.874] RX[TCP_prs2026hitl_7101]  ff c4 25 ff d8 00 00 22 0a 01 7e 00 00 00 22 0e 00 01 56 00 4c 65 ff c4 19 00 1e 0a 5a 40 5e 41 7a 5e 40 4c 95 ff c4 25 ff d9 5e 5e 08 08 40 08 08 4b 4c d8 5e 40 20 08 5e 40 40 40 0a 0a 0a 0a 57 20 28 32 32 39 37 37 32 31 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 40 5e 08 5e 40 5a 40 5e 41 5a 5e 40 4c 95 ff c4 25 ff d9 5e 5e 08 08 40 08 08 4b 4c d8 5e 40 20 08 5e 40 40 40 0d 0a 5a 5e 6e 08 0a 5e 41 76 5e 40 5e 40 5e 40 20 5e 40 22 0a 5e 41 76 5e 40 59 5e 40 20 5e 57 20 28 32 32 39 37 37 32 31 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5a 5e 4e 08 0d 0a 57 20 28 32 32 39 37 37 32 31 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 41 56 5e 40 5e 40 5e 40 20 5e 40 22 0d 0a
[13:45:54.883] BAD_PACKET[TCP_prs2026hitl_7101] bad EOF for 0x01: expected 0x0a, got 0x00; resync=discard 1 byte
[13:45:54.887] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.893] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x22; discarded 1 byte(s)
[13:45:54.902] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0e; discarded 1 byte(s)
[13:45:54.905] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x00; discarded 1 byte(s)
[13:45:54.909] BAD_PACKET[TCP_prs2026hitl_7101] bad EOF for 0x01: expected 0x0a, got 0xd9; resync=discard 1 byte
[13:45:54.913] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.921] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x08; discarded 1 byte(s)
[13:45:54.923] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x08; discarded 1 byte(s)
[13:45:54.924] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.924] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x08; discarded 1 byte(s)
[13:45:54.926] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x08; discarded 1 byte(s)
[13:45:54.927] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x4b; discarded 1 byte(s)
[13:45:54.928] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x4c; discarded 1 byte(s)
[13:45:54.930] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0xd8; discarded 1 byte(s)
[13:45:54.934] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.935] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.943] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[13:45:54.946] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x08; discarded 1 byte(s)
[13:45:54.947] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x5e; discarded 1 byte(s)
[13:45:54.948] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.949] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.950] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x40; discarded 1 byte(s)
[13:45:54.960] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0a; discarded 1 byte(s)
[13:45:54.961] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0a; discarded 1 byte(s)
[13:45:54.963] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0a; discarded 1 byte(s)
[13:45:54.964] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0a; discarded 1 byte(s)
[13:45:54.967] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x57; discarded 1 byte(s)
[13:45:54.968] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[13:45:54.968] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x28; discarded 1 byte(s)
[13:45:54.969] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x32; discarded 1 byte(s)
[13:45:54.969] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x32; discarded 1 byte(s)
[13:45:54.970] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x39; discarded 1 byte(s)
[13:45:54.971] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x37; discarded 1 byte(s)
[13:45:54.974] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x37; discarded 1 byte(s)
[13:45:54.975] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x32; discarded 1 byte(s)
[13:45:54.976] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x31; discarded 1 byte(s)
[13:45:54.977] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x29; discarded 1 byte(s)
[13:45:54.978] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[13:45:54.978] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x73; discarded 1 byte(s)
[13:45:54.981] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[13:45:54.983] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x72; discarded 1 byte(s)
[13:45:54.985] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[13:45:54.986] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[13:45:54.988] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[13:45:54.990] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x5f; discarded 1 byte(s)
[13:45:54.990] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x63; discarded 1 byte(s)
[13:45:54.991] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[13:45:54.995] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6d; discarded 1 byte(s)
[13:45:54.997] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6d; discarded 1 byte(s)
[13:45:54.998] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[13:45:54.999] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[13:45:55.000] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x64; discarded 1 byte(s)
[13:45:55.003] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x3a; discarded 1 byte(s)
[13:45:55.004] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[13:45:55.004] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[13:45:55.005] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[13:45:55.005] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6b; discarded 1 byte(s)
[13:45:55.006] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[13:45:55.006] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[13:45:55.009] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x77; discarded 1 byte(s)
[13:45:55.010] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[13:45:55.010] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[13:45:55.011] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x63; discarded 1 byte(s)
[13:45:55.011] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[13:45:55.012] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6d; discarded 1 byte(s)
[13:45:55.013] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6d; discarded 1 byte(s)
[13:45:55.013] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[13:45:55.014] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[13:45:55.015] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x64; discarded 1 byte(s)
[13:45:55.015] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x3a; discarded 1 byte(s)
