[13:46:07.419] RX[TCP_prs2026hitl_7100]  00 00 00 00 00 00 00 00 00 23 3f 7d 00 00 00 98 0a
[13:46:07.421] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.422] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.424] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.425] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.426] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.427] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.439] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.440] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.441] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.442] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x23; discarded 1 byte(s)
[13:46:07.444] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x3f; discarded 1 byte(s)
[13:46:07.445] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x7d; discarded 1 byte(s)
[13:46:07.446] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.447] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.448] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.449] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x98; discarded 1 byte(s)
[13:46:07.450] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0a; discarded 1 byte(s)
[13:46:07.451] RX[TCP_prs2026hitl_7102]  01 10 20 30 40 00 00 00 1d ff 00 00 00 00 00 1d 01 10 20 30 40 00 00 00 1e ff 01 00 00 00 00 1e 01 10 20 30 40 00 00 00 1f ff 00 00 00 00 00 1f 01 10 20 30 40 00 00 00 20 ff 01 00 00 00 00 20
[13:46:07.452] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0x01: expected 0x0a, got 0x1e; resync=discard 1 byte
[13:46:07.453] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0x01: expected 0x0a, got 0x20; resync=discard 1 byte
[13:46:07.454] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.455] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.456] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.457] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.459] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[13:46:07.460] RX[TCP_prs2026hitl_7100]  5e 43 5e 40 5e 40 5e 40 43 5e 40
[13:46:07.462] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:46:07.464] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x43; discarded 1 byte(s)
[13:46:07.465] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:46:07.466] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.473] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:46:07.475] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.477] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:46:07.479] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.481] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x43; discarded 1 byte(s)
[13:46:07.483] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[13:46:07.485] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.488] RX[TCP_prs2026hitl_7102]  01 10 20 30 40 00 00 00 21 ff 00 00 00 00 00 21 01 10 20 30 40 00 00 00 22 ff 01 00 00 00 00 22 01 10 20 30 40 00 00 00 23 ff 00 00 00 00 00 23 01 10 20 30 40 00 00 00 24 ff 01 00 00 00 00 24 01 10 20 30 40 00 00 00 25 ff 00 00 00 00 00 25 01 10 20 30 40 00 00 00 26 ff 01 00 00 00 00 26 01 10 20 30 40 00 00 00 27 ff 00 00 00 00 00 27 01 10 20 30 40 00 00 00 28 ff 01 00 00 00 00 28 01 10 20 30 40 00 00 00 29 ff 00 00 00 00 00 29 01 10 20 30 40 00 00 00 2a ff 01 00 00 00 00 2a 01 10 20 30 40 00 00 00 2b ff 00 00 00 00 00 2b 01 10 20 30 40 00 00 00 2c ff 01 00 00 00 00 2c 01 10 20 30 40 00 00 00 2d ff 00 00 00 00 00 2d 01 10 20 30 40 00 00 00 2e ff 01 00 00 00 00 2e 01 10 20 30 40 00 00 00 2f ff 00 00 00 00 00 2f 01 10 20 30 40 00 00 00 30 5e 41 5e 50 20 30 40 5e 40 5e 40 5e 40 5e 48 ff 5e ff 5e 50 20 5e 5e 08 20 5c 5e 41 5e 50 40 5e 40 5e 40 5e 40 5e 5d 40 50 40 40 5e 2f 5c 5e 41 5e 50 40 40 5e 40 5e 5e 5d 40 50 40 40 5e 2f 5e 41 5e 50 40 40 5e 40 5e 5e 5d 40 50 40 40 5e 2f 5e 41 5e 50
[13:46:07.492] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0xff: expected 0x0a, got 0x01; resync=discard 1 byte
[13:46:07.496] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[13:46:07.499] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x30; discarded 1 byte(s)
[13:46:07.502] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.506] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.508] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.510] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.512] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x21; discarded 1 byte(s)
[13:46:07.514] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0xff: expected 0x0a, got 0x01; resync=discard 1 byte
[13:46:07.516] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[13:46:07.521] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x30; discarded 1 byte(s)
[13:46:07.524] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.528] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.532] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.533] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.534] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x22; discarded 1 byte(s)
[13:46:07.536] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0xff: expected 0x0a, got 0x01; resync=discard 1 byte
[13:46:07.538] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[13:46:07.539] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x30; discarded 1 byte(s)
[13:46:07.540] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.540] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.541] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.542] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.543] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x23; discarded 1 byte(s)
[13:46:07.544] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0xff: expected 0x0a, got 0x01; resync=discard 1 byte
