[23:25:36.726] RX[TCP_prs2026hitl_7100]  01 6e 00 00 08 5f a1 00 02 00 00 54 af ff d0 ad ff ea 00 08 00 0a 01 6e 00 00 08 60 05 00 02 19 00 54 c8 ff d0 a1 ff eb 00 00 00 0a 01 66 00 00 08 60 69 00 02 00 00 54 af ff d0 d2 ff ee 00 09 00 10 0a 01 66 00 00 08 60 cd 00 02 25 00 54 e0 ff d0 58 ff ec 00 08 00 0a 02 66 00 00 08 61 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 67 6c 6e 48 0a ff 67 00 00 08 61 0a 01 6f 00 00 08 61 95 00 02 00 00 54 bc ff d0 ad ff fc 00 02 ff fe 0a 01 6f 00 00 08 61 f9 00 02 0a 0a 01 6f 00 00 08 62 5d 00 02 19 00 54 c8 ff d0 95 ff ea 00 0b 00 0a 01 67 00 00 08 62 c1 00 02 31 00 54 f9 ff d1 27 ff ea 00 08 00 0a 01 67 00 00 08 63 25 00 02 0a 00 54 c8 ff d0 7d ff eb 00 0a 00 10 0a 01 67 00 00 08 63 89 00 01 dc 00 54 a3 ff d0 c6 ff dd 00 10 00 21 0a 01 6f 00 00 08 63 ed 00 02 00 00 54 d4 ff d0 70 ff d9 00 1d 00 0f 0a 01 6f 00 00 08 64 51 00 02 0a 00 54 bc ff d0 95 ff dd 00 00 1e 0a 01 6f 00 00 08 64 b5 00 02 0a 00 54 bc ff d0 95 ff df 00 0c 00 24 0a 2c 48 0a ff 6e 00 00 08 64 fb 0a 01 6e 00 00 08 65 7d 00 02 19 00 54 d4 ff d0 95 ff fc 00 01 ff fe 0a 01 66 00 00 08 65 e1 00 02 00 00 54 af ff d0 ad ff d9 00 00 22 0a 01 66 00 00 08 66 45 00 02 19 00 54 c8 ff d0 89 ff da 00 00 22 0a 01 6e 00 00 08 66 a9 00 02 0a 00 54 c8 ff d0 a1 ff da 00 00 20 0a 01 6e 00 00 08 67 0a 00 02 0a 00 54 c8 ff d0 95 ff db 00 00 20 0a 01 6e 00 00 08 67 71 00 02 0a 00 54 bc ff d0 89 ff dd 00 0a 00 23 0a 01 6e 00 00 08 67 d5 00 02 25 00 54 e0 ff d0 0f ff d9 00 1b 00 0a 01 66 00 00 08 68 39 00 02 19 00 54 c8 ff d0 70 ff dc 00 00 1e 0a 01 66 00 00 08 68 9d 00 02 19 00 54 bc ff d0 7d ff dc 00 00 21 0a 02 66 00 00 08 68 e3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 66 ff 87 50 0a ff 67 00 00 08 68 e3 0a 01 6f 00 00 08 69 65 00 02 00 00 54 bc ff d0 95 ff fd 00 02 ff fe 0a 5e 41 6e 5e 40 5e 01 6f 00 00 08 69 c9 00 02 0a 00 54 c8 ff d0 95 ff d9 00 00 24 0a 40 5e 01 6f 00 00 08 6a 2d 00 02 0a 00 54 c8 ff d0 95 ff da 00 00 23 0a 48 01 6f 00 00 08 6a 91 00 02 19 00 54 c8 ff d0 95 ff db 00 00 22 0a 01 67 00 00 08 6a f5 00 02 00 00 54 bc ff d0 7d ff db 00 00 1f 0a 5f a1 5e 01 67 00 00 08 6b 59 00 02 00 00 54 d4 ff d0 89 ff dd 00 0c 00 24 0a 40 5e 01 67 00 00 08 6b bd 00 02 00 00 54 bc ff d0 70 ff db 00 19 00 0a 01 6f 00 00 08 6c 21 00 02 00 00 54 bc ff d0 a1 ff de 00 0e 00 20 0a 42 5e 0a 0a 5e 5e 5e 57 20 28 35 35 33 37 32 34 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 d0 ba 5e 41 4e 5e 40 5e 40 5e 48 5f a1 5e 40 5e 42 5e 0d 0a 40 5e 5e 6f 08 0d 0a 5e 41 41 5e 5e 40 5e 40 5e 40 5e 40 43 67 08 20 08 08 20 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 57 20 28 35 35 33 37 32 34 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 5e 5e 40 5e 5e 4f 08 0d 0a 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 01 6f 00 00 08 6c 85 00 02 25 00 54 bc ff d0 95 ff db 00 11 00 20 0a 02 6f 00 00 08 6c cb 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 67 15 2c 13 40 0a 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 08 20 08 2c 48 0d 0a 57 20 28 35 35 33 37 33 34 29 20 73 65 72 69 61 6c 5f 63 6f 6d 6d 61 6e 64 3a 20 75 6e 6b 6e 6f 77 6e 20 63 6f 6d 6d 61 6e 64 3a 20 5e 41 41 5e 5e 40 5e 40 5e 40 5e 40 43 47 08 20 08 08 20 08 20 08 08 20 08
[23:25:36.732] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0x01: expected 0x0a, got 0x00; resync=offset 19
[23:25:36.737] PACKET[TCP_prs2026hitl_7100] sensors: status=26112, uptime=548969, filtered_accel=[0.02048, 0.86716, -0.48312], gyro=[-1.26, 0.63, 1.12]
[23:25:36.743] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0x01: expected 0x0a, got 0x00; resync=offset 66
[23:25:36.749] PACKET[TCP_prs2026hitl_7100] sensors: status=28416, uptime=549269, filtered_accel=[0.02048, 0.86768, -0.4846], gyro=[-0.28, 0.14, -0.14]
[23:25:36.754] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0x01: expected 0x0a, got 0xff; resync=offset 30
[23:25:36.759] PACKET[TCP_prs2026hitl_7100] sensors: status=26368, uptime=549669, filtered_accel=[0.02088, 0.86816, -0.48652], gyro=[-1.47, 0.7, 1.12]
[23:25:36.763] PACKET[TCP_prs2026hitl_7100] sensors: status=26368, uptime=549769, filtered_accel=[0.01904, 0.86668, -0.4836], gyro=[-2.45, 1.12, 2.31]
[23:25:36.767] PACKET[TCP_prs2026hitl_7100] sensors: status=28416, uptime=549869, filtered_accel=[0.02048, 0.86864, -0.48704], gyro=[-2.73, 2.03, 1.05]
[23:25:36.771] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0x01: expected 0x0a, got 0x00; resync=offset 23
[23:25:36.775] PACKET[TCP_prs2026hitl_7100] heartbeat: status=28160, uptime=550139
[23:25:36.780] PACKET[TCP_prs2026hitl_7100] sensors: status=28160, uptime=550269, filtered_accel=[0.02148, 0.86864, -0.48556], gyro=[-0.28, 0.07, -0.14]
[23:25:36.784] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0x01: expected 0x0a, got 0x00; resync=offset 63
[23:25:36.792] PACKET[TCP_prs2026hitl_7100] sensors: status=28160, uptime=550769, filtered_accel=[0.02088, 0.86768, -0.48604], gyro=[-2.45, 0.7, 2.45]
[23:25:36.797] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0x01: expected 0x0a, got 0x00; resync=offset 104
[23:25:36.798] PACKET[TCP_prs2026hitl_7100] heartbeat: status=26368, uptime=551139
[23:25:36.799] PACKET[TCP_prs2026hitl_7100] sensors: status=28416, uptime=551269, filtered_accel=[0.02048, 0.86768, -0.48556], gyro=[-0.21, 0.14, -0.14]
[23:25:36.799] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 83 byte(s)
[23:25:36.800] PACKET[TCP_prs2026hitl_7100] state: status=0, uptime=1421672400, orientation=[4.2511281492146584e+37, 0.0, -0.0, 0.0], position=[2251937252638720.0, 0.0, -18521974784.0], velocity=[0.0, 0.0, 6.044634862680669e+23], latitude=706.0736, longitude=13.1072, gps_altitude=6493965385728.0, barometric_altitude=6.334674580715088e+29, witness_battery_voltage=6.4
[23:25:36.800] PACKET[TCP_prs2026hitl_7100] sensors: status=28416, uptime=551969, filtered_accel=[0.02048, 0.86768, -0.48508], gyro=[-2.38, 0.98, 2.24]
[23:25:36.801] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x42; discarded 222 byte(s)
[23:25:36.802] PACKET[TCP_prs2026hitl_7100] sensors: status=28416, uptime=552069, filtered_accel=[0.02196, 0.86768, -0.48556], gyro=[-2.59, 1.19, 2.24]
[23:25:36.802] PACKET[TCP_prs2026hitl_7100] state: status=28416, uptime=552139, orientation=[0.0, 0.0, 0.0, 0.0], position=[0.0, 0.0, 0.0], velocity=[0.0, 0.0, 0.0], latitude=0.0, longitude=0.0, gps_altitude=0.0, barometric_altitude=231.082703, witness_battery_voltage=4.928
[23:25:36.803] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.804] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.804] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.805] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.806] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.806] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.807] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.807] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.808] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.809] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.809] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.809] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.810] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.811] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.811] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.811] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.812] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.812] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.812] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.813] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
