[00:36:43.055] RX[COM10]  01
[00:36:43.055] RX[COM10]  67 00 00 01 57 32 00 01 56 00 03 9f ff 9c 11 ff d4 00 15 00 28 0a
[00:36:43.056] PACKET[COM10] sensors: status=26368, uptime=87858, filtered_accel=[0.01368, 0.03708, -1.02332], gyro=[-3.08, 1.47, 2.8]
[00:36:43.056] RX[TCP_prs2026hitl_7100]  49 20 28 31 32 37 39 33 30 36 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0a 0a 02 2f 00 00 00 00 d7 00 00 00 00 00 00
[00:36:43.057] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x49; discarded 1 byte(s)
[00:36:43.057] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.058] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x28; discarded 1 byte(s)
[00:36:43.058] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x31; discarded 1 byte(s)
[00:36:43.058] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x32; discarded 1 byte(s)
[00:36:43.058] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x37; discarded 1 byte(s)
[00:36:43.059] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x39; discarded 1 byte(s)
[00:36:43.059] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x33; discarded 1 byte(s)
[00:36:43.059] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x30; discarded 1 byte(s)
[00:36:43.060] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x36; discarded 1 byte(s)
[00:36:43.060] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x29; discarded 1 byte(s)
[00:36:43.060] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.061] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[00:36:43.061] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x70; discarded 1 byte(s)
[00:36:43.062] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.062] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x72; discarded 1 byte(s)
[00:36:43.063] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x74; discarded 1 byte(s)
[00:36:43.063] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x75; discarded 1 byte(s)
[00:36:43.063] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x72; discarded 1 byte(s)
[00:36:43.063] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.064] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x3a; discarded 1 byte(s)
[00:36:43.064] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.064] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x53; discarded 1 byte(s)
[00:36:43.065] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.065] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[00:36:43.065] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x64; discarded 1 byte(s)
[00:36:43.066] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x69; discarded 1 byte(s)
[00:36:43.066] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[00:36:43.066] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x67; discarded 1 byte(s)
[00:36:43.067] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.067] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x68; discarded 1 byte(s)
[00:36:43.067] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.068] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[00:36:43.068] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x72; discarded 1 byte(s)
[00:36:43.068] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x74; discarded 1 byte(s)
[00:36:43.068] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x62; discarded 1 byte(s)
[00:36:43.069] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.069] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[00:36:43.070] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x74; discarded 1 byte(s)
[00:36:43.070] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.070] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x28; discarded 1 byte(s)
[00:36:43.071] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x38; discarded 1 byte(s)
[00:36:43.071] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.071] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x62; discarded 1 byte(s)
[00:36:43.072] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x79; discarded 1 byte(s)
[00:36:43.072] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x74; discarded 1 byte(s)
[00:36:43.072] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.072] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x73; discarded 1 byte(s)
[00:36:43.073] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x29; discarded 1 byte(s)
[00:36:43.073] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0a; discarded 1 byte(s)
[00:36:43.073] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0a; discarded 1 byte(s)
[00:36:43.074] RX[TCP_prs2026hitl_7101]  44 65 76 69 63 65 20 6f 70 65 6e 20 66 61 69 6c 75 72 65 3a 20 56 61 6c 75 65 20 6f 72 20 66 69 6c 65 20 6e 6f 74 20 66 6f 75 6e 64 0d 0a
[00:36:43.074] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x44; discarded 1 byte(s)
[00:36:43.074] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.075] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x76; discarded 1 byte(s)
[00:36:43.075] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[00:36:43.075] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x63; discarded 1 byte(s)
[00:36:43.076] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.077] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.077] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[00:36:43.077] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x70; discarded 1 byte(s)
[00:36:43.078] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.078] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[00:36:43.079] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.079] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x66; discarded 1 byte(s)
[00:36:43.079] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[00:36:43.079] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[00:36:43.080] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[00:36:43.080] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[00:36:43.080] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x72; discarded 1 byte(s)
[00:36:43.081] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.081] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x3a; discarded 1 byte(s)
[00:36:43.081] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.082] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x56; discarded 1 byte(s)
[00:36:43.082] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[00:36:43.082] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[00:36:43.082] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[00:36:43.083] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.083] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.083] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[00:36:43.084] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x72; discarded 1 byte(s)
[00:36:43.084] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.084] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x66; discarded 1 byte(s)
[00:36:43.085] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[00:36:43.085] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[00:36:43.085] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[00:36:43.086] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.086] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[00:36:43.086] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[00:36:43.087] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x74; discarded 1 byte(s)
[00:36:43.087] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:36:43.087] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x66; discarded 1 byte(s)
[00:36:43.087] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[00:36:43.088] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[00:36:43.088] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[00:36:43.088] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x64; discarded 1 byte(s)
[00:36:43.089] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0d; discarded 1 byte(s)
[00:36:43.089] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0a; discarded 1 byte(s)
[00:36:43.089] ERROR[TCP_prs2026hitl_7101] TCP server closed the connection
