[02:39:06.192] RX[TCP_prs2026hitl_7100]  44 65 76 69 63 65 20 6f 70 65 6e 20 66 61 69 6c 75 72 65 3a 20 56 61 6c 75 65 20 6f 72 20 66 69 6c 65 20 6e 6f 74 20 66 6f 75 6e 64 0d 0a
[02:39:06.193] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x44; discarded 1 byte(s)
[02:39:06.194] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.195] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x76; discarded 1 byte(s)
[02:39:06.195] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x69; discarded 1 byte(s)
[02:39:06.196] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x63; discarded 1 byte(s)
[02:39:06.197] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.197] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.198] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[02:39:06.198] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x70; discarded 1 byte(s)
[02:39:06.198] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.199] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[02:39:06.199] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.200] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x66; discarded 1 byte(s)
[02:39:06.200] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.200] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x69; discarded 1 byte(s)
[02:39:06.201] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6c; discarded 1 byte(s)
[02:39:06.201] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x75; discarded 1 byte(s)
[02:39:06.201] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.201] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.202] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x3a; discarded 1 byte(s)
[02:39:06.202] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.202] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x56; discarded 1 byte(s)
[02:39:06.203] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.203] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6c; discarded 1 byte(s)
[02:39:06.203] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x75; discarded 1 byte(s)
[02:39:06.203] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.204] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.205] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[02:39:06.206] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.207] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.207] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x66; discarded 1 byte(s)
[02:39:06.207] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x69; discarded 1 byte(s)
[02:39:06.207] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6c; discarded 1 byte(s)
[02:39:06.208] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.208] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.208] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[02:39:06.209] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[02:39:06.209] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x74; discarded 1 byte(s)
[02:39:06.209] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.209] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x66; discarded 1 byte(s)
[02:39:06.210] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[02:39:06.210] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x75; discarded 1 byte(s)
[02:39:06.210] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[02:39:06.211] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x64; discarded 1 byte(s)
[02:39:06.211] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0d; discarded 1 byte(s)
[02:39:06.211] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0a; discarded 1 byte(s)
[02:39:06.211] ERROR[TCP_prs2026hitl_7100] TCP server closed the connection
[02:39:06.212] RX[TCP_prs2026hitl_7101]  44 65 76 69 63 65 20 6f 70 65 6e 20 66 61 69 6c 75 72 65 3a 20 56 61 6c 75 65 20 6f 72 20 66 69 6c 65 20 6e 6f 74 20 66 6f 75 6e 64 0d 0a
[02:39:06.212] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x44; discarded 1 byte(s)
[02:39:06.212] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.213] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x76; discarded 1 byte(s)
[02:39:06.213] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[02:39:06.213] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x63; discarded 1 byte(s)
[02:39:06.213] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.214] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.214] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[02:39:06.214] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x70; discarded 1 byte(s)
[02:39:06.215] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.215] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[02:39:06.215] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.215] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x66; discarded 1 byte(s)
[02:39:06.216] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.216] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[02:39:06.216] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[02:39:06.217] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[02:39:06.217] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.217] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.217] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x3a; discarded 1 byte(s)
[02:39:06.218] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.218] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x56; discarded 1 byte(s)
[02:39:06.219] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.219] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[02:39:06.220] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[02:39:06.220] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.220] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.220] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[02:39:06.221] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.221] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.221] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x66; discarded 1 byte(s)
[02:39:06.222] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[02:39:06.222] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
