[12:20:01.759] RX[COM9]  02
[12:20:01.760] RX[COM9]  6f 00 00 00 95 54 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 67 ad 5e 13 d4 0a
[12:20:01.761] PACKET[COM9] state: status=0b0110111100000000, uptime=38228, orientation=[0.0, 0.0, 0.0, 0.0], position=[0.0, 0.0, 0.0], velocity=[0.0, 0.0, 0.0], latitude=0.0, longitude=0.0, gps_altitude=0.0, barometric_altitude=231.677216, witness_battery_voltage=5.076
[12:20:02.192] RX[COM9]  49
[12:20:02.193] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[12:20:02.195] RX[COM9]  20 28 34 34 33 30 39 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0d 0a
[12:20:02.196] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:02.196] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[12:20:02.196] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[12:20:02.196] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[12:20:02.196] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[12:20:02.196] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[12:20:02.197] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[12:20:02.197] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[12:20:02.198] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:02.198] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[12:20:02.199] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[12:20:02.199] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:02.199] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[12:20:02.199] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[12:20:02.200] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[12:20:02.200] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[12:20:02.200] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:02.200] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[12:20:02.201] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:02.201] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[12:20:02.201] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:02.202] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[12:20:02.203] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[12:20:02.203] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[12:20:02.203] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[12:20:02.204] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[12:20:02.204] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:02.204] BAD_PACKET[COM9] unknown packet ID 0x68; discarded 1 byte(s)
[12:20:02.204] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:02.205] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[12:20:02.205] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
