[12:20:18.756] RX[COM9]  02
[12:20:18.757] RX[COM9]  66 00 00 00 d7 bc 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 67 d9 56 13 e0 0a
[12:20:18.757] PACKET[COM9] state: status=0b0110011000000000, uptime=55228, orientation=[0.0, 0.0, 0.0, 0.0], position=[0.0, 0.0, 0.0], velocity=[0.0, 0.0, 0.0], latitude=0.0, longitude=0.0, gps_altitude=0.0, barometric_altitude=231.848969, witness_battery_voltage=5.088
[12:20:19.216] RX[COM9]  49
[12:20:19.216] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[12:20:19.216] RX[COM9]  20 28 31 36 33 30 39 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0d 0a
[12:20:19.217] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:19.217] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[12:20:19.217] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[12:20:19.217] BAD_PACKET[COM9] unknown packet ID 0x36; discarded 1 byte(s)
[12:20:19.217] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[12:20:19.218] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[12:20:19.218] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[12:20:19.218] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[12:20:19.219] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:19.219] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[12:20:19.220] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[12:20:19.220] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.220] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[12:20:19.220] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[12:20:19.221] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[12:20:19.221] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[12:20:19.221] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.222] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[12:20:19.222] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:19.222] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[12:20:19.222] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.223] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[12:20:19.223] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[12:20:19.223] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[12:20:19.223] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[12:20:19.224] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[12:20:19.224] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:19.224] BAD_PACKET[COM9] unknown packet ID 0x68; discarded 1 byte(s)
[12:20:19.225] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.225] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[12:20:19.225] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[12:20:19.225] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[12:20:19.226] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[12:20:19.226] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.226] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[12:20:19.227] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[12:20:19.227] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:19.227] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[12:20:19.227] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[12:20:19.228] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:19.228] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[12:20:19.228] BAD_PACKET[COM9] unknown packet ID 0x79; discarded 1 byte(s)
[12:20:19.228] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[12:20:19.229] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.229] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[12:20:19.230] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[12:20:19.230] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[12:20:19.230] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[12:20:19.230] RX[COM9]  49
[12:20:19.231] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[12:20:19.231] RX[COM9]  20 28 31 36 33 34 39 29 20 61 70 65 72 74 75 72 65 3a 20 48 65 61 72 74 62 65 61 74 20 73 65 6e 74 0d 0a
[12:20:19.231] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:19.232] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[12:20:19.232] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[12:20:19.232] BAD_PACKET[COM9] unknown packet ID 0x36; discarded 1 byte(s)
[12:20:19.232] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[12:20:19.233] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[12:20:19.233] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[12:20:19.233] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[12:20:19.234] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:19.234] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[12:20:19.234] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[12:20:19.234] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.235] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[12:20:19.235] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[12:20:19.235] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[12:20:19.235] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[12:20:19.236] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.236] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[12:20:19.236] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:19.237] BAD_PACKET[COM9] unknown packet ID 0x48; discarded 1 byte(s)
[12:20:19.237] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.237] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[12:20:19.237] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[12:20:19.238] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[12:20:19.238] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[12:20:19.238] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.238] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[12:20:19.239] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[12:20:19.239] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:19.239] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[12:20:19.240] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:19.240] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[12:20:19.240] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[12:20:19.240] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[12:20:19.241] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[12:20:19.750] RX[COM9]  02
[12:20:19.751] RX[COM9]  6f 00 00 00 db a4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 67 ee fb 13 dc 0a
[12:20:19.752] PACKET[COM9] state: status=0b0110111100000000, uptime=56228, orientation=[0.0, 0.0, 0.0, 0.0], position=[0.0, 0.0, 0.0], velocity=[0.0, 0.0, 0.0], latitude=0.0, longitude=0.0, gps_altitude=0.0, barometric_altitude=231.933517, witness_battery_voltage=5.084
[12:20:20.228] RX[COM9]  49
[12:20:20.229] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[12:20:20.229] RX[COM9]  20 28 31 37 33 30 39 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0d 0a
[12:20:20.230] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:20.230] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[12:20:20.231] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[12:20:20.231] BAD_PACKET[COM9] unknown packet ID 0x37; discarded 1 byte(s)
[12:20:20.231] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[12:20:20.232] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[12:20:20.232] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[12:20:20.233] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[12:20:20.233] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:20.234] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[12:20:20.234] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[12:20:20.235] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:20.235] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[12:20:20.235] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[12:20:20.235] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[12:20:20.236] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[12:20:20.236] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:20.236] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[12:20:20.237] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[12:20:20.237] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[12:20:20.237] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[12:20:20.237] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[12:20:20.238] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
